Time (t),[Measured] Speed ~ V(t) (m/s),[Measured] Current Position ~ X(t) (m),[Measured] Current Position ~ Y(t) (m),[Measured] Steering Angle FL ~ delta_fl(t) (deg),[Measured] Steering Angle FR ~ delta_fr(t) (deg),[Measured] Current Yaw Angle ~ Phi(t) (deg),[Measured] Steering Wheel Angle SWA ~ Theta(t) (deg),[Measured] VelocityX ~ Vx(t) (m/s),[Measured] VelocityY ~ Vy(t) (m/s),[Measured] AccelerationX ~ Ax(t) (m/s^2),[Measured] AccelerationY ~ Ay(t) (m/s^2),[Measured] Angular VelocityZ ~ Phi_dot(t) (rad/s^2),[Computed] Rotation direction ~ rotate(t) (CW/CCW),[Computed] Turning Radius ~ R(delta) (m),[Computed] Vehicle Steering Angle ~ Delta_v(t) (deg),[Computed] Center of Rotation to WORLD ~ X_c(t) (m),[Computed] Center of Rotation to WORLD ~ Y_c(t) (m),[Computed] Current Error to Trajectory ~ e(t) (m),[Computed] Predicted Position ~ X_tp(t) (m),[Computed] Predicted Position ~ Y_tp(t) (m),[Computed] Change of Yaw Angle ~ Delta_Phi(t) (deg),[Computed] Predicted Yaw Angle ~ Phi_tp(t) (deg),[Computed] Predicted Error to Trajectory ~ eps_tp(t) (m),[Computed] Desired Steering Wheel Angle ~ Theta_d(t) (deg),[Computed] Torque applied ~ Tau_das (N.m)
1742875721.6913333,4.247145275340667e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,-0.16479995117038485,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,9.71869293910593e-10,49.97069168188007,inf,inf,inf
1742875721.739583,4.8064644954563374e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,-0.16479995117038485,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.0998576579254872e-09,49.97069168200806,inf,inf,inf
1742875721.7884378,4.499120996624519e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,-0.16479995117038485,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.029528603976719e-09,49.97069168193773,inf,inf,inf
1742875721.8340352,4.526714524609888e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,-0.16479995117038485,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.0358427987642969e-09,49.97069168194405,inf,inf,inf
1742875721.8814461,5.0446707036544425e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,-0.16479995117038485,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.1543661063910375e-09,49.970691682062565,inf,inf,inf
1742875721.924492,4.040775437808444e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,-0.16479995117038485,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,9.246459249687809e-10,49.97069168183285,inf,inf,inf
1742875721.970261,2.3734469246704642e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,-0.16479995117038485,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,5.431130882681501e-10,49.970691681451314,inf,inf,inf
1742875722.015931,4.576862296245799e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,-0.16479995117038485,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.047318054789551e-09,49.97069168195552,inf,inf,inf
1742875722.0646174,3.887077284261984e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,-0.16479995117038485,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,8.894753559680354e-10,49.970691681797675,inf,inf,inf
1742875722.1143389,4.817168191591898e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,-0.16479995117038485,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.1023069722133451e-09,49.970691682010504,inf,inf,inf
1742875722.1586514,2.6009257563395092e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,-0.16479995117038485,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,5.951668036890496e-10,49.97069168150337,inf,inf,inf
1742875722.206701,1.930019185858593e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,-0.16479995117038485,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,4.4164403659204575e-10,49.97069168134985,inf,inf,inf
1742875722.2599213,4.421811208910179e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,-0.16479995117038485,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.01183789552967e-09,49.97069168192004,inf,inf,inf
1742875722.3061469,4.9559331484992495e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,-0.16479995117038485,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.1340603952648476e-09,49.97069168204226,inf,inf,inf
1742875722.3468595,5.554325002859594e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,-0.16479995117038485,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.270989704548338e-09,49.97069168217919,inf,inf,inf
1742875722.392155,3.488102860912738e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,-0.16479995117038485,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,7.981785045605413e-10,49.970691681706384,inf,inf,inf
1742875722.4426954,4.635515746022744e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,-0.16479995117038485,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.060739655211629e-09,49.970691681968944,inf,inf,inf
